Line	Column	Type		Value
----------------------------------------
7	1	LBRACE		{
9	5	IDENTIFIER	_count
9	12	ASSIGN		=
9	14	INT		10
9	16	SEMI		;
10	5	IDENTIFIER	totalSum
10	14	ASSIGN		=
10	16	INT		0
10	17	SEMI		;
13	5	IDENTIFIER	totalSum
13	14	ASSIGN		=
13	16	IDENTIFIER	_count
13	23	MUL		*
13	25	INT		2
13	27	PLUS		+
13	29	INT		15
13	32	DIV		/
13	34	INT		3
13	36	MINUS		-
13	38	INT		1
13	39	SEMI		;
16	5	KEYWORD		if
16	8	LPAREN		(
16	9	IDENTIFIER	totalSum
16	18	GE		>=
16	21	INT		20
16	23	RPAREN		)
16	25	LBRACE		{
17	9	IDENTIFIER	result
17	16	ASSIGN		=
17	18	INT		1
17	19	SEMI		;
18	5	RBRACE		}
20	5	KEYWORD		if
20	8	LPAREN		(
20	9	IDENTIFIER	totalSum
20	18	LT		<
20	21	INT		50
20	23	RPAREN		)
20	25	LBRACE		{
21	9	IDENTIFIER	result
21	16	ASSIGN		=
21	18	INT		2
21	19	SEMI		;
22	5	RBRACE		}
24	5	KEYWORD		if
24	8	LPAREN		(
24	9	IDENTIFIER	totalSum
24	18	EQ		==
24	21	INT		24
24	23	RPAREN		)
24	25	LBRACE		{
25	9	IDENTIFIER	result
25	16	ASSIGN		=
25	18	INT		3
25	19	SEMI		;
26	5	RBRACE		}
28	5	KEYWORD		if
28	8	LPAREN		(
28	9	IDENTIFIER	totalSum
28	18	NE		!=
28	21	INT		0
28	22	RPAREN		)
28	24	LBRACE		{
29	9	IDENTIFIER	result
29	16	ASSIGN		=
29	18	IDENTIFIER	result
29	25	MINUS		-
29	27	INT		1
29	28	SEMI		;
30	5	RBRACE		}
33	5	KEYWORD		while
33	11	LPAREN		(
33	12	IDENTIFIER	result
33	19	GT		>
33	21	INT		0
33	22	RPAREN		)
34	9	IDENTIFIER	result
34	16	ASSIGN		=
34	18	IDENTIFIER	result
34	25	MINUS		-
34	27	INT		1
34	28	SEMI		;
42	5	IDENTIFIER	a1
42	7	COMMA		,
42	9	IDENTIFIER	b_2
42	12	COMMA		,
42	14	IDENTIFIER	c3
42	16	SEMI		;
43	5	IDENTIFIER	value
43	11	ASSIGN		=
43	13	LPAREN		(
43	14	INT		3
43	16	PLUS		+
43	18	INT		5
43	19	RPAREN		)
43	21	MUL		*
43	23	LPAREN		(
43	24	INT		8
43	26	MINUS		-
43	28	INT		6
43	29	RPAREN		)
43	30	SEMI		;
44	1	RBRACE		}
47	1	IDENTIFIER	illegalVar
47	12	ASSIGN		=
47	14	INT		100
Lexical Error at line 47, column 18: illegal character '$'
